Stations_ID; Mess_Datum; Qualitaets_Niveau; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      232;19470208;   5;   -6.2;   3.1;   7.0;  943.40;   81.00;-999;   -3.7;  -11.8;   -999;-999;   1.8;   8;    3.800;  20;eor
      232;19470209;   5;    0.5;   5.6;   2.3;  947.60;   84.00;-999;   10.6;   -6.2;   -999;-999;   0.0;   0;    9.000;  20;eor
      232;19470210;   5;   -1.6;   5.1;   8.0;  946.60;   92.00;-999;    0.2;   -3.7;   -999;-999;   0.0;   1;    0.000;  12;eor
      232;19470211;   5;   -0.3;   5.1;   7.0;  948.30;   85.00;-999;    3.3;   -4.0;   -999;-999;   0.0;   0;    3.500;  11;eor
      232;19470212;   5;   -4.3;   4.0;   2.7;  949.00;   88.00;-999;    0.8;   -6.7;   -999;-999;   0.0;   0;    6.500;  10;eor
      232;19470213;   5;   -4.3;   4.1;   8.0;  950.40;   94.00;-999;   -2.9;   -7.7;   -999;-999;   0.1;   7;    0.000;   8;eor
      232;19470214;   5;   -3.8;   4.3;   8.0;  952.80;   92.00;-999;   -2.8;   -4.5;   -999;-999;   0.3;   1;    0.000;   8;eor
      232;19470215;   5;   -6.2;   3.2;   8.0;  955.60;   84.00;-999;   -3.7;   -8.0;   -999;-999;   2.9;   7;    0.000;   7;eor
      232;19470216;   5;   -6.5;   3.2;   8.0;  955.40;   86.00;-999;   -4.6;   -7.2;   -999;-999;   2.9;   7;    0.000;  10;eor
      232;19470217;   5;   -7.1;   2.9;   8.0;  952.60;   82.00;-999;   -5.1;  -14.0;   -999;-999;   0.0;   1;    0.500;  13;eor
      232;19470218;   5;   -7.1;   2.8;   3.0;  946.20;   79.00;-999;   -2.7;   -9.8;   -999;-999;   0.1;   7;    5.000;  13;eor
      232;19470219;   5;   -6.0;   3.3;   8.0;  943.90;   88.00;-999;   -3.8;  -11.4;   -999;-999;   6.5;   7;    0.000;  13;eor
      232;19470220;   5;   -5.3;   3.5;   8.0;  947.00;   83.00;-999;   -4.2;   -6.3;   -999;-999;   0.0;   7;    0.000;  15;eor
      232;19470221;   5;    0.5;   5.5;   8.0;  939.60;   90.00;-999;    3.9;   -6.6;   -999;-999;   9.3;   8;    0.000;  15;eor
      232;19470222;   5;    6.2;   8.1;   8.0;  935.20;   87.00;-999;    8.3;    0.8;   -999;-999;   5.9;   8;    0.000;  10;eor
      232;19470223;   5;   -1.5;   4.7;   8.0;  948.20;   81.00;-999;    6.9;   -2.9;   -999;-999;   0.0;   1;    0.000;   5;eor
      232;19470224;   5;   -4.5;   3.2;   4.7;  951.40;   75.00;-999;   -2.0;   -6.1;   -999;-999;   0.0;   1;    2.200;   4;eor
      232;19470225;   5;   -6.6;   3.3;   8.0;  945.20;   88.00;-999;   -4.1;   -7.3;   -999;-999;   3.9;   7;    0.000;   3;eor
      232;19470226;   5;   -6.2;   3.1;   2.7;  955.00;   79.00;-999;   -1.6;   -9.9;   -999;-999;   0.0;   0;    8.000;  10;eor
      232;19470227;   5;   -5.8;   2.8;   7.3;  945.10;   73.00;-999;    1.8;  -14.4;   -999;-999;   0.0;   0;    7.600;  10;eor
      232;19470228;   5;   -1.3;   4.7;   7.3;  937.40;   82.00;-999;    3.3;   -9.2;   -999;-999;   0.0;   8;    1.200;   3;eor
      232;19470301;   5;   -3.3;   3.5;   3.0;  946.40;   71.00;-999;    0.2;   -4.9;   -999;-999;   0.9;   7;    4.800;   3;eor
      232;19470302;   5;   -4.1;   2.9;   1.7;  954.80;   65.00;-999;    0.1;   -7.6;   -999;-999;   0.0;   0;    9.600;   3;eor
      232;19470303;   5;   -4.6;   2.9;   7.0;  956.30;   69.00;-999;    0.6;  -12.3;   -999;-999;   0.0;   7;    6.700;   3;eor
      232;19470304;   5;   -1.2;   4.8;   7.3;  952.80;   86.00;-999;    2.9;   -5.4;   -999;-999;   0.2;   8;    0.700;   3;eor
      232;19470305;   5;    4.2;   7.1;   8.0;  938.80;   88.00;-999;    5.7;   -1.0;   -999;-999;   2.6;   1;    0.000;   2;eor
      232;19470306;   5;    5.9;   7.3;   5.7;  941.10;   77.00;-999;   13.7;    2.6;   -999;-999;   1.7;   1;    8.300;   0;eor
      232;19470307;   5;    2.4;   6.8;   7.7;  943.20;   86.00;-999;    8.2;   -1.4;   -999;-999;   0.8;   8;    0.300;   0;eor
      232;19470308;   5;   -2.3;   3.7;   7.7;  954.60;   71.00;-999;   -0.7;   -4.3;   -999;-999;   0.0;   0;    1.000;   1;eor
      232;19470309;   5;    0.1;   4.0;   1.0;  962.00;   67.00;-999;    4.4;   -5.2;   -999;-999;   0.0;   0;    8.500;   0;eor
      232;19470310;   5;    0.2;   5.9;   8.0;  956.00;   95.00;-999;    1.0;   -3.5;   -999;-999;  20.9;   8;    0.000;   0;eor
